Lineage,Hemisphere,Category,Count
BAla1/2,Left,Dev,0
BAla1/2,Right,Dev,0
BAla3/4,Left,Dev,0
BAla3/4,Right,Dev,0
BAlc,Left,Dev,0
BAlc,Right,Dev,0
BAlp1-3,Left,Dev,0
BAlp1-3,Right,Dev,0
BAlp4,Left,Dev,0
BAlp4,Right,Dev,0
BAlv,Left,Dev,0
BAlv,Right,Dev,0
BAmas1/2,Left,Dev,0
BAmas1/2,Right,Dev,0
BAmd1,Left,Dev,0
BAmd1,Right,Dev,0
BAmd2,Left,Dev,0
BAmd2,Right,Dev,0
BAmv1/2,Left,Dev,0
BAmv1/2,Right,Dev,0
BAmv3,Left,Dev,0
BAmv3,Right,Dev,0
BApd,Left,Dev,0
BApd,Right,Dev,0
BApv,Left,Dev,0
BApv,Right,Dev,0
BLAd1-4,Left,Dev,0
BLAd1-4,Right,Dev,0
BLAl,Left,Dev,0
BLAl,Right,Dev,0
BLAv1/2,Left,Dev,0
BLAv1/2,Right,Dev,0
BLAvm,Left,Dev,0
BLAvm,Right,Dev,0
BLD1,Left,Dev,0
BLD1,Right,Dev,0
BLD2-4,Left,Dev,0
BLD2-4,Right,Dev,0
BLD5/6,Left,Dev,0
BLD5/6,Right,Dev,0
BLP1/2,Left,Dev,0
BLP1/2,Right,Dev,0
BLP3/4,Left,Dev,0
BLP3/4,Right,Dev,0
BLVa1/2,Left,Dev,0
BLVa1/2,Right,Dev,0
BLVa3/4,Left,Dev,0
BLVa3/4,Right,Dev,0
BLVp1,Left,Dev,0
BLVp1,Right,Dev,0
BLVp2,Left,Dev,0
BLVp2,Right,Dev,0
BolwigsAxon,Left,Dev,0
BolwigsAxon,Right,Dev,0
CM1/3,Left,Dev,0
CM1/3,Right,Dev,0
CM4,Left,Dev,0
CM4,Right,Dev,0
CM4-CM5*,Left,Dev,0
CM4-CM5*,Right,Dev,0
CP1d,Left,Dev,0
CP1d,Right,Dev,0
CP1v,Left,Dev,0
CP1v,Right,Dev,0
CP2/3d,Left,Dev,0
CP2/3d,Right,Dev,0
CP2/3v,Left,Dev,0
CP2/3v,Right,Dev,0
CP4,Left,Dev,0
CP4,Right,Dev,0
DALcl1/2d,Left,Dev,0
DALcl1/2d,Right,Dev,0
DALcl1/2v,Left,Dev,0
DALcl1/2v,Right,Dev,0
DALcm1/2m,Left,Dev,0
DALcm1/2m,Right,Dev,0
DALcm1/2v,Left,Dev,0
DALcm1/2v,Right,Dev,0
DALd,Left,Dev,0
DALd,Right,Dev,0
DALl1,Left,Dev,0
DALl1,Right,Dev,0
DALv1,Left,Dev,0
DALv1,Right,Dev,0
DALv2/3,Left,Dev,0
DALv2/3,Right,Dev,0
DALv2/3accl,Left,Dev,0
DALv2/3accl,Right,Dev,0
DALv2/3accm,Left,Dev,0
DALv2/3accm,Right,Dev,0
DALv2/3accvl,Left,Dev,0
DALv2/3accvl,Right,Dev,0
DALv2/3accvm,Left,Dev,0
DALv2/3accvm,Right,Dev,0
DAMd1,Left,Dev,0
DAMd1,Right,Dev,0
DAMd2/3,Left,Dev,0
DAMd2/3,Right,Dev,0
DAMv1/2,Left,Dev,0
DAMv1/2,Right,Dev,0
DILP,Left,Dev,0
DILP,Right,Dev,0
DPLal1-3,Left,Dev,0
DPLal1-3,Right,Dev,0
DPLam,Left,Dev,0
DPLam,Right,Dev,0
DPLc1,Left,Dev,0
DPLc1,Right,Dev,0
DPLc2,Left,Dev,0
DPLc2,Right,Dev,0
DPLc3,Left,Dev,0
DPLc3,Right,Dev,0
DPLc4,Left,Dev,0
DPLc4,Right,Dev,0
DPLc5a,Left,Dev,0
DPLc5a,Right,Dev,0
DPLc5p,Left,Dev,0
DPLc5p,Right,Dev,0
DPLd,Left,Dev,0
DPLd,Right,Dev,0
DPLl1-3,Left,Dev,0
DPLl1-3,Right,Dev,0
DPLm1,Left,Dev,0
DPLm1,Right,Dev,0
DPLm2,Left,Dev,0
DPLm2,Right,Dev,0
DPLp1/2,Left,Dev,0
DPLp1/2,Right,Dev,0
DPMl1,Left,Dev,0
DPMl1,Right,Dev,0
DPMl2,Left,Dev,0
DPMl2,Right,Dev,0
DPMl3/4a,Left,Dev,0
DPMl3/4a,Right,Dev,0
DPMl3/4p,Left,Dev,0
DPMl3/4p,Right,Dev,0
DPMm1,Left,Dev,0
DPMm1,Right,Dev,0
